2018-03-14 22:10:49 INFO  TestBase:37 - Creating object of firefox
2018-03-14 22:48:52 INFO  HomePage:71 - Error message is:-An account using this email address has already been registered. Please enter a valid password or request a new one.
2018-03-14 22:48:52 INFO  TC002_VerifyRegistration:27 - =========== Finished TC001_VerifyLoginWithInvalidCredentials ========
2018-03-14 23:14:32 INFO  TestBase:38 - Creating object of firefox
2018-03-14 23:14:36 INFO  TestBase:55 - Navigating to http://automationpractice.com/index.php
2018-03-14 23:14:38 INFO  TC002_VerifyRegistration:23 - =========== Starting TC001_VerifyLoginWithInvalidCredentials ========
2018-03-14 23:14:39 INFO  HomePage:45 - Clicked on sign in and object is:-[[FirefoxDriver: firefox on MAC (23e97059-2d16-2b46-b975-8bd1c6b75834)] -> xpath: .//*[@id='header']/div[2]/div/div/nav/div[1]/a]
2018-03-14 23:14:40 INFO  HomePage:48 - Entered the email address:-test@gmail.com and object is:-[[FirefoxDriver: firefox on MAC (23e97059-2d16-2b46-b975-8bd1c6b75834)] -> xpath: //*[@id='email']]
2018-03-14 23:14:40 INFO  HomePage:50 - Clicked on create an account button and the object is:-[[FirefoxDriver: firefox on MAC (23e97059-2d16-2b46-b975-8bd1c6b75834)] -> id: SubmitCreate]
2018-03-14 23:14:40 INFO  HomePage:71 - Error message is:-An account using this email address has already been registered. Please enter a valid password or request a new one.
2018-03-15 10:58:46 INFO  TestBase:38 - Creating object of firefox
2018-03-15 10:58:49 INFO  TestBase:55 - Navigating to http://automationpractice.com/index.php
2018-03-15 10:58:52 INFO  TC002_VerifyRegistration:24 - =========== Starting TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 10:58:53 INFO  HomePage:45 - Clicked on sign in and object is:-[[FirefoxDriver: firefox on MAC (54007193-e2ff-664d-ab80-5ea8cde94f62)] -> xpath: .//*[@id='header']/div[2]/div/div/nav/div[1]/a]
2018-03-15 10:58:53 INFO  HomePage:48 - Entered the email address:-test@gmail.com and object is:-[[FirefoxDriver: firefox on MAC (54007193-e2ff-664d-ab80-5ea8cde94f62)] -> xpath: //*[@id='email']]
2018-03-15 10:58:54 INFO  HomePage:50 - Clicked on create an account button and the object is:-[[FirefoxDriver: firefox on MAC (54007193-e2ff-664d-ab80-5ea8cde94f62)] -> id: SubmitCreate]
2018-03-15 10:58:54 INFO  HomePage:71 - Error message is:-An account using this email address has already been registered. Please enter a valid password or request a new one.
2018-03-15 12:21:33 INFO  TestBase:38 - Creating object of firefox
2018-03-15 12:21:36 INFO  TestBase:55 - Navigating to http://automationpractice.com/index.php
2018-03-15 12:21:38 INFO  TC002_VerifyRegistration:24 - =========== Starting TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 12:21:40 INFO  HomePage:45 - Clicked on sign in and object is:-[[FirefoxDriver: firefox on MAC (bc40d274-1e00-ec4d-8d53-b71168f5005b)] -> xpath: .//*[@id='header']/div[2]/div/div/nav/div[1]/a]
2018-03-15 12:21:40 INFO  HomePage:48 - Entered the email address:-test@gmail.com and object is:-[[FirefoxDriver: firefox on MAC (bc40d274-1e00-ec4d-8d53-b71168f5005b)] -> xpath: //*[@id='email']]
2018-03-15 12:21:40 INFO  HomePage:50 - Clicked on create an account button and the object is:-[[FirefoxDriver: firefox on MAC (bc40d274-1e00-ec4d-8d53-b71168f5005b)] -> id: SubmitCreate]
2018-03-15 12:21:40 INFO  HomePage:71 - Error message is:-An account using this email address has already been registered. Please enter a valid password or request a new one.
2018-03-15 12:22:09 INFO  TestBase:38 - Creating object of firefox
2018-03-15 12:22:12 INFO  TestBase:55 - Navigating to http://automationpractice.com/index.php
2018-03-15 12:22:14 INFO  TC002_VerifyRegistration:24 - =========== Starting TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 12:22:15 INFO  HomePage:45 - Clicked on sign in and object is:-[[FirefoxDriver: firefox on MAC (40f91f9c-64bd-6141-9ee8-089af5e6c2d0)] -> xpath: .//*[@id='header']/div[2]/div/div/nav/div[1]/a]
2018-03-15 12:22:16 INFO  HomePage:48 - Entered the email address:-test@gmail.com and object is:-[[FirefoxDriver: firefox on MAC (40f91f9c-64bd-6141-9ee8-089af5e6c2d0)] -> xpath: //*[@id='email']]
2018-03-15 12:22:16 INFO  HomePage:50 - Clicked on create an account button and the object is:-[[FirefoxDriver: firefox on MAC (40f91f9c-64bd-6141-9ee8-089af5e6c2d0)] -> id: SubmitCreate]
2018-03-15 12:22:16 INFO  HomePage:71 - Error message is:-An account using this email address has already been registered. Please enter a valid password or request a new one.
2018-03-15 12:22:16 INFO  TC002_VerifyRegistration:28 - =========== Finished TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 12:22:34 INFO  TestBase:55 - Navigating to http://automationpractice.com/index.php
2018-03-15 12:22:37 INFO  TC002_VerifyRegistration:24 - =========== Starting TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 12:22:38 INFO  HomePage:45 - Clicked on sign in and object is:-[[ChromeDriver: chrome on MAC (dba725b59c1faa829cd18be526556b64)] -> xpath: .//*[@id='header']/div[2]/div/div/nav/div[1]/a]
2018-03-15 12:22:38 INFO  HomePage:48 - Entered the email address:-test@gmail.com and object is:-[[ChromeDriver: chrome on MAC (dba725b59c1faa829cd18be526556b64)] -> xpath: //*[@id='email']]
2018-03-15 12:22:38 INFO  HomePage:50 - Clicked on create an account button and the object is:-[[ChromeDriver: chrome on MAC (dba725b59c1faa829cd18be526556b64)] -> id: SubmitCreate]
2018-03-15 12:22:39 INFO  HomePage:71 - Error message is:-An account using this email address has already been registered. Please enter a valid password or request a new one.
2018-03-15 12:22:39 INFO  TC002_VerifyRegistration:28 - =========== Finished TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 12:22:54 INFO  TestBase:55 - Navigating to http://automationpractice.com/index.php
2018-03-15 12:22:56 INFO  TC002_VerifyRegistration:24 - =========== Starting TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 12:22:57 INFO  HomePage:45 - Clicked on sign in and object is:-[[ChromeDriver: chrome on MAC (5b5a0e85c91db6d18f2656df1016181c)] -> xpath: .//*[@id='header']/div[2]/div/div/nav/div[1]/a]
2018-03-15 12:22:58 INFO  HomePage:48 - Entered the email address:-test@gmail.com and object is:-[[ChromeDriver: chrome on MAC (5b5a0e85c91db6d18f2656df1016181c)] -> xpath: //*[@id='email']]
2018-03-15 12:22:58 INFO  HomePage:50 - Clicked on create an account button and the object is:-[[ChromeDriver: chrome on MAC (5b5a0e85c91db6d18f2656df1016181c)] -> id: SubmitCreate]
2018-03-15 12:22:58 INFO  HomePage:71 - Error message is:-An account using this email address has already been registered. Please enter a valid password or request a new one.
2018-03-15 12:22:58 INFO  TC002_VerifyRegistration:28 - =========== Finished TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 12:45:30 INFO  TC002_VerifyRegistration:24 - =========== Starting TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 12:45:31 INFO  HomePage:45 - Clicked on sign in and object is:-[[FirefoxDriver: firefox on MAC (4826cbdb-d4e5-b442-a07d-44340256fdb1)] -> xpath: .//*[@id='header']/div[2]/div/div/nav/div[1]/a]
2018-03-15 12:45:31 INFO  HomePage:48 - Entered the email address:-test@gmail.com and object is:-[[FirefoxDriver: firefox on MAC (4826cbdb-d4e5-b442-a07d-44340256fdb1)] -> xpath: //*[@id='email']]
2018-03-15 12:45:31 INFO  HomePage:50 - Clicked on create an account button and the object is:-[[FirefoxDriver: firefox on MAC (4826cbdb-d4e5-b442-a07d-44340256fdb1)] -> id: SubmitCreate]
2018-03-15 12:45:32 INFO  HomePage:71 - Error message is:-An account using this email address has already been registered. Please enter a valid password or request a new one.
2018-03-15 12:45:32 INFO  TC002_VerifyRegistration:28 - =========== Finished TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:05:57 ERROR ExcelReader:31 - Cannot find or open /Users/nenaderceg/Code/Eclipse/oxygen-workspace/POMWithPageFactoryFramework/Users/nenaderceg/Code/Eclipse/oxygen-workspace/POMWithPageFactoryFramework/src/main/java/com/test/automation/uiAutomation/data/TestData1.xlsx
2018-03-15 22:15:13 ERROR ExcelReader:71 - cell == null
2018-03-15 22:20:12 ERROR ExcelReader:71 - cell == null
2018-03-15 22:22:45 INFO  ExcelReader:57 - LAST CELL # : 3
2018-03-15 22:22:45 ERROR ExcelReader:73 - cell == null
2018-03-15 22:24:54 INFO  ExcelReader:57 - LAST CELL # : 3 , LAST ROW # : 11
2018-03-15 22:24:54 ERROR ExcelReader:73 - cell == null
2018-03-15 22:28:00 INFO  ExcelReader:57 - LAST CELL # : 3 , LAST ROW # : 11
2018-03-15 22:28:01 INFO  TC001_VerifyLoginWithInvalidCredentials:33 - =========== Starting TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:28:02 INFO  HomePage:56 - Clicked on sign in and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='header']/div[2]/div/div/nav/div[1]/a]
2018-03-15 22:28:02 INFO  HomePage:58 - Entered the email address:-automation@gmail.com and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: //*[@id='email']]
2018-03-15 22:28:02 INFO  HomePage:60 - Entered a password:-password and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='passwd']]
2018-03-15 22:28:03 INFO  HomePage:62 - Clicked on submit button and the object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='SubmitLogin']]
2018-03-15 22:28:03 INFO  HomePage:66 - Error message is:-Authentication failed.
2018-03-15 22:28:03 INFO  TC001_VerifyLoginWithInvalidCredentials:37 - =========== Finished TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:28:03 INFO  TC001_VerifyLoginWithInvalidCredentials:33 - =========== Starting TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:28:05 INFO  HomePage:56 - Clicked on sign in and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='header']/div[2]/div/div/nav/div[1]/a]
2018-03-15 22:28:05 INFO  HomePage:58 - Entered the email address:-automation@gmail.com and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: //*[@id='email']]
2018-03-15 22:28:05 INFO  HomePage:60 - Entered a password:-password and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='passwd']]
2018-03-15 22:28:06 INFO  HomePage:62 - Clicked on submit button and the object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='SubmitLogin']]
2018-03-15 22:28:06 INFO  HomePage:66 - Error message is:-Authentication failed.
2018-03-15 22:28:06 INFO  TC001_VerifyLoginWithInvalidCredentials:37 - =========== Finished TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:28:06 INFO  TC001_VerifyLoginWithInvalidCredentials:33 - =========== Starting TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:28:07 INFO  HomePage:56 - Clicked on sign in and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='header']/div[2]/div/div/nav/div[1]/a]
2018-03-15 22:28:07 INFO  HomePage:58 - Entered the email address:-automation@gmail.com and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: //*[@id='email']]
2018-03-15 22:28:07 INFO  HomePage:60 - Entered a password:-password and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='passwd']]
2018-03-15 22:28:08 INFO  HomePage:62 - Clicked on submit button and the object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='SubmitLogin']]
2018-03-15 22:28:08 INFO  HomePage:66 - Error message is:-Authentication failed.
2018-03-15 22:28:08 INFO  TC001_VerifyLoginWithInvalidCredentials:37 - =========== Finished TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:28:08 INFO  TC001_VerifyLoginWithInvalidCredentials:33 - =========== Starting TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:28:09 INFO  HomePage:56 - Clicked on sign in and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='header']/div[2]/div/div/nav/div[1]/a]
2018-03-15 22:28:09 INFO  HomePage:58 - Entered the email address:-automation@gmail.com and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: //*[@id='email']]
2018-03-15 22:28:10 INFO  HomePage:60 - Entered a password:-password and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='passwd']]
2018-03-15 22:28:10 INFO  HomePage:62 - Clicked on submit button and the object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='SubmitLogin']]
2018-03-15 22:28:10 INFO  HomePage:66 - Error message is:-Authentication failed.
2018-03-15 22:28:11 INFO  TC001_VerifyLoginWithInvalidCredentials:37 - =========== Finished TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:28:11 INFO  TC001_VerifyLoginWithInvalidCredentials:33 - =========== Starting TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:28:12 INFO  HomePage:56 - Clicked on sign in and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='header']/div[2]/div/div/nav/div[1]/a]
2018-03-15 22:28:12 INFO  HomePage:58 - Entered the email address:-automation@gmail.com and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: //*[@id='email']]
2018-03-15 22:28:12 INFO  HomePage:60 - Entered a password:-password and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='passwd']]
2018-03-15 22:28:13 INFO  HomePage:62 - Clicked on submit button and the object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='SubmitLogin']]
2018-03-15 22:28:13 INFO  HomePage:66 - Error message is:-Authentication failed.
2018-03-15 22:28:13 INFO  TC001_VerifyLoginWithInvalidCredentials:37 - =========== Finished TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:28:13 INFO  TC001_VerifyLoginWithInvalidCredentials:33 - =========== Starting TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:28:14 INFO  HomePage:56 - Clicked on sign in and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='header']/div[2]/div/div/nav/div[1]/a]
2018-03-15 22:28:14 INFO  HomePage:58 - Entered the email address:-automation@gmail.com and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: //*[@id='email']]
2018-03-15 22:28:14 INFO  HomePage:60 - Entered a password:-password and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='passwd']]
2018-03-15 22:28:15 INFO  HomePage:62 - Clicked on submit button and the object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='SubmitLogin']]
2018-03-15 22:28:15 INFO  HomePage:66 - Error message is:-Authentication failed.
2018-03-15 22:28:15 INFO  TC001_VerifyLoginWithInvalidCredentials:37 - =========== Finished TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:28:15 INFO  TC001_VerifyLoginWithInvalidCredentials:33 - =========== Starting TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:28:16 INFO  HomePage:56 - Clicked on sign in and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='header']/div[2]/div/div/nav/div[1]/a]
2018-03-15 22:28:16 INFO  HomePage:58 - Entered the email address:-automation@gmail.com and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: //*[@id='email']]
2018-03-15 22:28:16 INFO  HomePage:60 - Entered a password:-password and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='passwd']]
2018-03-15 22:28:17 INFO  HomePage:62 - Clicked on submit button and the object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='SubmitLogin']]
2018-03-15 22:28:17 INFO  HomePage:66 - Error message is:-Authentication failed.
2018-03-15 22:28:17 INFO  TC001_VerifyLoginWithInvalidCredentials:37 - =========== Finished TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:28:17 INFO  TC001_VerifyLoginWithInvalidCredentials:33 - =========== Starting TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:28:19 INFO  HomePage:56 - Clicked on sign in and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='header']/div[2]/div/div/nav/div[1]/a]
2018-03-15 22:28:19 INFO  HomePage:58 - Entered the email address:-automation@gmail.com and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: //*[@id='email']]
2018-03-15 22:28:19 INFO  HomePage:60 - Entered a password:-password and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='passwd']]
2018-03-15 22:28:20 INFO  HomePage:62 - Clicked on submit button and the object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='SubmitLogin']]
2018-03-15 22:28:20 INFO  HomePage:66 - Error message is:-Authentication failed.
2018-03-15 22:28:20 INFO  TC001_VerifyLoginWithInvalidCredentials:37 - =========== Finished TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:28:20 INFO  TC001_VerifyLoginWithInvalidCredentials:33 - =========== Starting TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:28:21 INFO  HomePage:56 - Clicked on sign in and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='header']/div[2]/div/div/nav/div[1]/a]
2018-03-15 22:28:21 INFO  HomePage:58 - Entered the email address:-automation@gmail.com and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: //*[@id='email']]
2018-03-15 22:28:21 INFO  HomePage:60 - Entered a password:-password and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='passwd']]
2018-03-15 22:28:22 INFO  HomePage:62 - Clicked on submit button and the object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='SubmitLogin']]
2018-03-15 22:28:22 INFO  HomePage:66 - Error message is:-Authentication failed.
2018-03-15 22:28:22 INFO  TC001_VerifyLoginWithInvalidCredentials:37 - =========== Finished TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:28:22 INFO  TC001_VerifyLoginWithInvalidCredentials:33 - =========== Starting TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:28:24 INFO  HomePage:56 - Clicked on sign in and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='header']/div[2]/div/div/nav/div[1]/a]
2018-03-15 22:28:24 INFO  HomePage:58 - Entered the email address:-automation@gmail.com and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: //*[@id='email']]
2018-03-15 22:28:24 INFO  HomePage:60 - Entered a password:-password and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='passwd']]
2018-03-15 22:28:25 INFO  HomePage:62 - Clicked on submit button and the object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='SubmitLogin']]
2018-03-15 22:28:25 INFO  HomePage:66 - Error message is:-Authentication failed.
2018-03-15 22:28:25 INFO  TC001_VerifyLoginWithInvalidCredentials:37 - =========== Finished TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:28:25 INFO  TC001_VerifyLoginWithInvalidCredentials:33 - =========== Starting TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:28:26 INFO  HomePage:56 - Clicked on sign in and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='header']/div[2]/div/div/nav/div[1]/a]
2018-03-15 22:28:26 INFO  HomePage:58 - Entered the email address:-automation@gmail.com and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: //*[@id='email']]
2018-03-15 22:28:26 INFO  HomePage:60 - Entered a password:-password and object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='passwd']]
2018-03-15 22:28:27 INFO  HomePage:62 - Clicked on submit button and the object is:-[[FirefoxDriver: firefox on MAC (47fa1bd2-dea7-4f48-9cba-51c268542f67)] -> xpath: .//*[@id='SubmitLogin']]
2018-03-15 22:28:27 INFO  HomePage:66 - Error message is:-Authentication failed.
2018-03-15 22:28:27 INFO  TC001_VerifyLoginWithInvalidCredentials:37 - =========== Finished TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:29:41 INFO  ExcelReader:57 - LAST CELL # : 3 , LAST ROW # : 11
2018-03-15 22:29:41 INFO  TC001_VerifyLoginWithInvalidCredentials:33 - =========== Starting TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:29:45 INFO  HomePage:56 - Clicked on sign in and object is:-[[FirefoxDriver: firefox on MAC (3e90a892-40a9-b04b-ae07-1ab689b133de)] -> xpath: .//*[@id='header']/div[2]/div/div/nav/div[1]/a]
2018-03-15 22:29:45 INFO  HomePage:58 - Entered the email address:-automation@gmail.com and object is:-[[FirefoxDriver: firefox on MAC (3e90a892-40a9-b04b-ae07-1ab689b133de)] -> xpath: //*[@id='email']]
2018-03-15 22:29:45 INFO  HomePage:60 - Entered a password:-password and object is:-[[FirefoxDriver: firefox on MAC (3e90a892-40a9-b04b-ae07-1ab689b133de)] -> xpath: .//*[@id='passwd']]
2018-03-15 22:29:47 INFO  HomePage:62 - Clicked on submit button and the object is:-[[FirefoxDriver: firefox on MAC (3e90a892-40a9-b04b-ae07-1ab689b133de)] -> xpath: .//*[@id='SubmitLogin']]
2018-03-15 22:29:47 INFO  HomePage:66 - Error message is:-Authentication failed.
2018-03-15 22:29:48 INFO  TC001_VerifyLoginWithInvalidCredentials:37 - =========== Finished TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:29:48 INFO  TC001_VerifyLoginWithInvalidCredentials:33 - =========== Starting TC001_VerifyLoginWithInvalidCredentials ========
2018-03-15 22:29:50 INFO  HomePage:56 - Clicked on sign in and object is:-[[FirefoxDriver: firefox on MAC (3e90a892-40a9-b04b-ae07-1ab689b133de)] -> xpath: .//*[@id='header']/div[2]/div/div/nav/div[1]/a]
